L1_SDR;;;;;;;
01/09/2025 00:00;08/09/2025 00:00;;;;;;
12061 Atacadão Bangu;;;;;;;
elielton.polityto;;;;;;;
 ;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;
 ;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; 
2025-09-01 13:25:00.0;-12,4;1;0;-33,9;21,4;-12,5;
2025-09-01 13:30:00.0;-12,5;1;0;-33,9;21,7;-12,2;
2025-09-01 13:35:00.0;-13;1;0;-34,1;21,3;-12,8;
2025-09-01 13:40:00.0;-12;1;0;-34,1;22;-12,1;
2025-09-01 13:45:00.0;-12,8;1;0;-34,1;21,4;-12,7;
2025-09-01 13:50:00.0;-13,2;1;0;-34,1;21;-13,1;
2025-09-01 13:55:00.0;-13,5;1;0;-34;20,7;-13,4;
2025-09-01 14:00:00.0;-13,7;1;0;-30;16,6;-13,4;
2025-09-01 14:05:00.0;-13,7;1;0;-30,1;16,5;-13,6;
2025-09-01 14:10:00.0;-13,8;1;0;-30,1;16,4;-13,7;
2025-09-01 14:15:00.0;-13,9;1;0;-30,1;16,3;-13,8;
2025-09-01 14:20:00.0;-14;1;0;-30,1;16,2;-13,9;
2025-09-01 14:25:00.0;-14,1;1;0;-29,9;16;-13,9;
2025-09-01 14:30:00.0;-14,1;1;0;-30,1;16,1;-14;
2025-09-01 14:35:00.0;-14,1;1;0;-30;16;-14,1;
2025-09-01 14:40:00.0;-14,2;1;0;-29,9;15,8;-14,1;
2025-09-01 14:45:00.0;-14,2;1;0;-30;15,9;-14,1;
2025-09-01 14:50:00.0;-14,3;1;0;-30;15,9;-14,2;
2025-09-01 14:55:00.0;-12,5;1;0;-29,9;17,2;-12,8;
2025-09-01 15:00:00.0;-13;1;0;-30,1;17,4;-12,8;
2025-09-01 15:05:00.0;-13,4;1;0;-30;16,8;-13,2;
2025-09-01 15:10:00.0;-13,7;1;0;-30,1;16,6;-13,5;
2025-09-01 15:15:00.0;-13,7;1;0;-30,1;16,4;-13,7;
2025-09-01 15:20:00.0;-13,8;1;0;-29,9;16,3;-13,6;
2025-09-01 15:25:00.0;-13,9;1;0;-30;16,2;-13,8;
2025-09-01 15:30:00.0;-13,6;1;0;-30,1;16,6;-13,5;
2025-09-01 15:35:00.0;-13,7;1;0;-30;16,4;-13,5;
